;Код ДС;состояние площадки;Площадь;Генпроектировщик;Генподрядчик;Кол-во рабочих;date_report
1069;019-0477;Свободна, передана;3592.7;16;12;39.0;2023.03.06
1070;019-0474;Свободна, передана;11561.12;17;13;279.0;2023.03.06
1071;019-0475;Свободна, передана;12032.12;18;14;296.0;2023.03.06
1072;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.03.06
1073;019-0483;Свободна, передана;16366.63;19;11;175.0;2023.03.06
1074;019-0469;Свободна, передана;9411.0;20;1;159.0;2023.03.06
1075;019-0478;Свободна, передана;21197.0;20;3;97.0;2023.03.06
1076;020-0151;Занята;4080.0;21;15;;2023.03.06
1077;019-0480;Свободна, передана;14919.0;10;8;383.0;2023.03.06
1078;019-0431;Свободна, передана;19433.4;22;16;171.0;2023.03.06
1079;019-0430;Свободна, не передана;16094.4;23;15;;2023.03.06
1080;019-0463;Свободна, передана;5245.4;24;12;23.0;2023.03.06
1081;020-0710;Свободна, передана;8067.83;8;5;186.0;2023.03.06
1082;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.03.06
1084;019-0471;Свободна, передана;11500.0;20;8;316.0;2023.03.06
1085;019-0675;Свободна, передана;8844.0;26;18;169.0;2023.03.06
1086;020-0712;Свободна, передана;6671.21;8;5;87.0;2023.03.06
1087;020-0709;Свободна, не передана;6848.84;27;1;95.0;2023.03.06
1088;021-0050;;;0;0;;2023.03.06
1089;020-0683;Свободна, не передана;7515.86;27;1;37.0;2023.03.06
1090;021-0049;;;0;0;;2023.03.06
1091;021-0781;Свободна, не передана;8226.4;2;0;;2023.03.06
1092;021-0048;Свободна, не передана;10320.0;6;0;;2023.03.06
1094;020-0711;Свободна, передана;7265.0;28;19;29.0;2023.03.06
1095;019-0594;Занята;17488.0;1;2;;2023.03.06
1096;020-0156;Занята;13288.0;21;15;;2023.03.06
1097;020-0149;Свободна, передана;2812.0;8;5;95.0;2023.03.06
1098;019-0676;Свободна, не передана;6291.0;29;20;112.0;2023.03.06
1099;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.03.06
1100;019-0674;Занята;9030.0;6;0;;2023.03.06
1102;019-0589;Занята;3751.1;1;2;;2023.03.06
1104;020-0157;Занята;7243.9;30;7;53.0;2023.03.06
1105;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.03.06
1106;019-0470;Свободна, передана;15050.0;18;21;63.0;2023.03.06
1108;017-0527;Занята;14784.0;8;5;;2023.03.06
1109;017-0520;Свободна, не передана;6367.0;8;5;;2023.03.06
1112;021-0548;Занята;4037.0;32;0;;2023.03.06
1015;022-0043;;;0;0;;2023.03.07
1016;023-0091;;17000.0;0;0;;2023.03.07
1017;022-0629;;;0;1;;2023.03.07
1018;022-0170;Свободна, передана;16402.54;1;2;464.0;2023.03.07
1020;021-0549;Занята;;0;0;;2023.03.07
1021;022-0526;Занята;18100.0;0;0;;2023.03.07
1022;022-0520;Свободна, не передана;27225.0;0;0;;2023.03.07
1023;022-0519;Свободна, не передана;8307.0;0;0;;2023.03.07
1024;022-0515;Занята;5500.0;0;0;;2023.03.07
1025;022-0513;Свободна, не передана;6892.0;0;0;;2023.03.07
1026;022-0527;Не передана;9850.0;0;0;;2023.03.07
1027;022-0522;Не передана;13260.0;0;0;;2023.03.07
1028;022-0518;Занята;6000.0;0;0;;2023.03.07
1029;022-0631;;;0;2;;2023.03.07
1030;023-0092;;4000.0;0;0;;2023.03.07
1031;021-0550;Занята;1977.5;2;0;;2023.03.07
1032;022-0355;Передана под снос (для объектов сноса);;1;2;;2023.03.07
1033;022-0592;;3956.0;3;0;;2023.03.07
1034;022-0525;Не передана;9900.0;0;0;;2023.03.07
1035;022-0707;;;0;0;;2023.03.07
1036;022-0630;;;0;0;;2023.03.07
1037;022-0523;;27225.0;0;0;;2023.03.07
1039;023-0093;;17000.0;0;0;;2023.03.07
1040;023-0089;;7500.0;0;0;;2023.03.07
1041;022-0524;Занята;6800.0;0;0;;2023.03.07
1042;022-0528;Занята;12225.0;0;0;;2023.03.07
1043;023-0090;;4000.0;0;0;;2023.03.07
1044;022-0354;Занята;20271.0;0;0;;2023.03.07
1045;022-0176;Не передана;17000.0;4;0;;2023.03.07
1046;022-0172;Свободна, передана;;5;3;;2023.03.07
1047;020-0776;Свободна, не передана;3328.02;6;0;;2023.03.07
1048;022-0171;Свободна, передана;6671.21;1;2;137.0;2023.03.07
1049;022-0517;Занята;7000.0;0;0;;2023.03.07
1052;019-0668;Свободна, передана;2766.4;7;4;42.0;2023.03.07
1053;019-0464;Свободна, передана;11837.18;8;5;87.0;2023.03.07
1055;020-0720;Свободна, передана;20164.69;9;6;223.0;2023.03.07
1056;020-0719;Свободна, передана;5149.6;2;7;60.0;2023.03.07
1057;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.03.07
1058;019-0429;Свободна, передана;11410.0;11;7;99.0;2023.03.07
1059;020-0155;Свободна, не передана;16484.0;8;5;;2023.03.07
1060;019-0428;Свободна, передана;9067.1;12;4;46.0;2023.03.07
1061;020-0684;Занята;2488.6;1;2;;2023.03.07
1062;019-0467;Свободна, передана;11215.0;10;8;44.0;2023.03.07
1063;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.03.07
1065;019-0481;Свободна, передана;15122.0;13;9;204.0;2023.03.07
1066;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.03.07
1067;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.03.07
1069;019-0477;Свободна, передана;3592.7;16;12;39.0;2023.03.07
1070;019-0474;Свободна, передана;11561.12;17;13;279.0;2023.03.07
1071;019-0475;Свободна, передана;12032.12;18;14;296.0;2023.03.07
1072;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.03.07
1073;019-0483;Свободна, передана;16366.63;19;11;175.0;2023.03.07
1074;019-0469;Свободна, передана;9411.0;20;1;159.0;2023.03.07
1075;019-0478;Свободна, передана;21197.0;20;3;97.0;2023.03.07
1076;020-0151;Занята;4080.0;21;15;;2023.03.07
1077;019-0480;Свободна, передана;14919.0;10;8;383.0;2023.03.07
1078;019-0431;Свободна, передана;19433.4;22;16;171.0;2023.03.07
1079;019-0430;Свободна, не передана;16094.4;23;15;;2023.03.07
1080;019-0463;Свободна, передана;5245.4;24;12;23.0;2023.03.07
1081;020-0710;Свободна, передана;8067.83;8;5;186.0;2023.03.07
1082;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.03.07
1084;019-0471;Свободна, передана;11500.0;20;8;316.0;2023.03.07
1085;019-0675;Свободна, передана;8844.0;26;18;169.0;2023.03.07
1086;020-0712;Свободна, передана;6671.21;8;5;87.0;2023.03.07
1087;020-0709;Свободна, не передана;6848.84;27;1;95.0;2023.03.07
1088;021-0050;;;0;0;;2023.03.07
1089;020-0683;Свободна, не передана;7515.86;27;1;37.0;2023.03.07
1090;021-0049;;;0;0;;2023.03.07
1091;021-0781;Свободна, не передана;8226.4;2;0;;2023.03.07
1092;021-0048;Свободна, не передана;10320.0;6;0;;2023.03.07
1094;020-0711;Свободна, передана;7265.0;28;19;29.0;2023.03.07
1095;019-0594;Занята;17488.0;1;2;;2023.03.07
1096;020-0156;Занята;13288.0;21;15;;2023.03.07
1097;020-0149;Свободна, передана;2812.0;8;5;95.0;2023.03.07
1098;019-0676;Свободна, не передана;6291.0;29;20;112.0;2023.03.07
1099;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.03.07
1100;019-0674;Занята;9030.0;6;0;;2023.03.07
1102;019-0589;Занята;3751.1;1;2;;2023.03.07
1104;020-0157;Занята;7243.9;30;7;53.0;2023.03.07
1105;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.03.07
1106;019-0470;Свободна, передана;15050.0;18;21;63.0;2023.03.07
1108;017-0527;Занята;14784.0;8;5;;2023.03.07
1109;017-0520;Свободна, не передана;6367.0;8;5;;2023.03.07
1112;021-0548;Занята;4037.0;32;0;;2023.03.07
1015;022-0043;;;0;0;;2023.03.08
1016;023-0091;;17000.0;0;0;;2023.03.08
1017;022-0629;;;0;1;;2023.03.08
1018;022-0170;Свободна, передана;16402.54;1;2;492.0;2023.03.08
1020;021-0549;Занята;;0;0;;2023.03.08
1021;022-0526;Занята;18100.0;0;0;;2023.03.08
1022;022-0520;Свободна, не передана;27225.0;0;0;;2023.03.08
1023;022-0519;Свободна, не передана;8307.0;0;0;;2023.03.08
1024;022-0515;Занята;5500.0;0;0;;2023.03.08
1025;022-0513;Свободна, не передана;6892.0;0;0;;2023.03.08
1026;022-0527;Не передана;9850.0;0;0;;2023.03.08
1027;022-0522;Не передана;13260.0;0;0;;2023.03.08
1028;022-0518;Занята;6000.0;0;0;;2023.03.08
1029;022-0631;;;0;2;;2023.03.08
1030;023-0092;;4000.0;0;0;;2023.03.08
1031;021-0550;Занята;1977.5;2;0;;2023.03.08
1032;022-0355;Передана под снос (для объектов сноса);;1;2;;2023.03.08
1033;022-0592;;3956.0;3;0;;2023.03.08
1034;022-0525;Не передана;9900.0;0;0;;2023.03.08
1035;022-0707;;;0;0;;2023.03.08
1036;022-0630;;;0;0;;2023.03.08
1037;022-0523;;27225.0;0;0;;2023.03.08
1039;023-0093;;17000.0;0;0;;2023.03.08
1040;023-0089;;7500.0;0;0;;2023.03.08
1041;022-0524;Занята;6800.0;0;0;;2023.03.08
1042;022-0528;Занята;12225.0;0;0;;2023.03.08
1043;023-0090;;4000.0;0;0;;2023.03.08
1044;022-0354;Занята;20271.0;0;0;;2023.03.08
1045;022-0176;Не передана;17000.0;4;0;;2023.03.08
1046;022-0172;Свободна, передана;;5;3;;2023.03.08
1047;020-0776;Свободна, не передана;3328.02;6;0;;2023.03.08
1048;022-0171;Свободна, передана;6671.21;1;2;138.0;2023.03.08
1049;022-0517;Занята;7000.0;0;0;;2023.03.08
1052;019-0668;Свободна, передана;2766.4;7;4;47.0;2023.03.08
1053;019-0464;Свободна, передана;11837.18;8;5;76.0;2023.03.08
1055;020-0720;Свободна, передана;20164.69;9;6;216.0;2023.03.08
1056;020-0719;Свободна, передана;5149.6;2;7;60.0;2023.03.08
1057;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.03.08
1058;019-0429;Свободна, передана;11410.0;11;7;99.0;2023.03.08
1059;020-0155;Свободна, не передана;16484.0;8;5;;2023.03.08
1060;019-0428;Свободна, передана;9067.1;12;4;46.0;2023.03.08
1061;020-0684;Занята;2488.6;1;2;;2023.03.08
1062;019-0467;Свободна, передана;11215.0;10;8;44.0;2023.03.08
1063;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.03.08
1065;019-0481;Свободна, передана;15122.0;13;9;204.0;2023.03.08
1066;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.03.08
1067;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.03.08
1069;019-0477;Свободна, передана;3592.7;16;12;39.0;2023.03.08
1070;019-0474;Свободна, передана;11561.12;17;13;271.0;2023.03.08
1071;019-0475;Свободна, передана;12032.12;18;14;306.0;2023.03.08
1072;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.03.08
1073;019-0483;Свободна, передана;16366.63;19;11;175.0;2023.03.08
1074;019-0469;Свободна, передана;9411.0;20;1;156.0;2023.03.08
1075;019-0478;Свободна, передана;21197.0;20;3;97.0;2023.03.08
1076;020-0151;Занята;4080.0;21;15;;2023.03.08
1077;019-0480;Свободна, передана;14919.0;10;8;383.0;2023.03.08
1078;019-0431;Свободна, передана;19433.4;22;16;181.0;2023.03.08
1079;019-0430;Свободна, не передана;16094.4;23;15;;2023.03.08
1080;019-0463;Свободна, передана;5245.4;24;12;23.0;2023.03.08
1081;020-0710;Свободна, передана;8067.83;8;5;186.0;2023.03.08
1082;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.03.08
1084;019-0471;Свободна, передана;11500.0;20;8;337.0;2023.03.08
1085;019-0675;Свободна, передана;8844.0;26;18;168.0;2023.03.08
1086;020-0712;Свободна, передана;6671.21;8;5;85.0;2023.03.08
1087;020-0709;Свободна, не передана;6848.84;27;1;85.0;2023.03.08
1088;021-0050;;;0;0;;2023.03.08
1089;020-0683;Свободна, не передана;7515.86;27;1;39.0;2023.03.08
1090;021-0049;;;0;0;;2023.03.08
1091;021-0781;Свободна, не передана;8226.4;2;0;;2023.03.08
1092;021-0048;Свободна, не передана;10320.0;6;0;;2023.03.08
1094;020-0711;Свободна, передана;7265.0;28;19;29.0;2023.03.08
1095;019-0594;Занята;17488.0;1;2;;2023.03.08
1096;020-0156;Занята;13288.0;21;15;;2023.03.08
1097;020-0149;Свободна, передана;2812.0;8;5;94.0;2023.03.08
1098;019-0676;Свободна, не передана;6291.0;29;20;106.0;2023.03.08
1099;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.03.08
1100;019-0674;Занята;9030.0;6;0;;2023.03.08
1102;019-0589;Занята;3751.1;1;2;;2023.03.08
1104;020-0157;Занята;7243.9;30;7;49.0;2023.03.08
1105;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.03.08
1106;019-0470;Свободна, передана;15050.0;18;21;63.0;2023.03.08
1108;017-0527;Занята;14784.0;8;5;;2023.03.08
1109;017-0520;Свободна, не передана;6367.0;8;5;;2023.03.08
1112;021-0548;Занята;4037.0;32;0;;2023.03.08
1015;022-0043;;;0;0;;2023.03.09
1016;023-0091;;17000.0;0;0;;2023.03.09
1017;022-0629;;;0;1;;2023.03.09
1018;022-0170;Свободна, передана;16402.54;1;2;492.0;2023.03.09
1020;021-0549;Занята;;0;0;;2023.03.09
1021;022-0526;Занята;18100.0;0;0;;2023.03.09
1022;022-0520;Свободна, не передана;27225.0;0;0;;2023.03.09
1023;022-0519;Свободна, не передана;8307.0;0;0;;2023.03.09
1024;022-0515;Занята;5500.0;0;0;;2023.03.09
1025;022-0513;Свободна, не передана;6892.0;0;0;;2023.03.09
1026;022-0527;Не передана;9850.0;0;0;;2023.03.09
1027;022-0522;Не передана;13260.0;0;0;;2023.03.09
1028;022-0518;Занята;6000.0;0;0;;2023.03.09
1029;022-0631;;;0;2;;2023.03.09
1030;023-0092;;4000.0;0;0;;2023.03.09
1031;021-0550;Занята;1977.5;2;0;;2023.03.09
1032;022-0355;Передана под снос (для объектов сноса);;1;2;;2023.03.09
1033;022-0592;;3956.0;3;0;;2023.03.09
1034;022-0525;Не передана;9900.0;0;0;;2023.03.09
1035;022-0707;;;0;0;;2023.03.09
1036;022-0630;;;0;0;;2023.03.09
1037;022-0523;;27225.0;0;0;;2023.03.09
1039;023-0093;;17000.0;0;0;;2023.03.09
1040;023-0089;;7500.0;0;0;;2023.03.09
1041;022-0524;Занята;6800.0;0;0;;2023.03.09
1042;022-0528;Занята;12225.0;0;0;;2023.03.09
1043;023-0090;;4000.0;0;0;;2023.03.09
1044;022-0354;Занята;20271.0;0;0;;2023.03.09
1045;022-0176;Не передана;17000.0;4;0;;2023.03.09
1046;022-0172;Свободна, передана;;5;3;;2023.03.09
1047;020-0776;Свободна, не передана;3328.02;6;0;;2023.03.09
1048;022-0171;Свободна, передана;6671.21;1;2;138.0;2023.03.09
1049;022-0517;Занята;7000.0;0;0;;2023.03.09
1052;019-0668;Свободна, передана;2766.4;7;4;47.0;2023.03.09
1053;019-0464;Свободна, передана;11837.18;8;5;76.0;2023.03.09
1055;020-0720;Свободна, передана;20164.69;9;6;216.0;2023.03.09
1056;020-0719;Свободна, передана;5149.6;2;7;60.0;2023.03.09
1057;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.03.09
1058;019-0429;Свободна, передана;11410.0;11;7;99.0;2023.03.09
1059;020-0155;Свободна, не передана;16484.0;8;5;;2023.03.09
1060;019-0428;Свободна, передана;9067.1;12;4;46.0;2023.03.09
1061;020-0684;Занята;2488.6;1;2;;2023.03.09
1062;019-0467;Свободна, передана;11215.0;10;8;44.0;2023.03.09
1063;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.03.09
1065;019-0481;Свободна, передана;15122.0;13;9;207.0;2023.03.09
1066;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.03.09
1067;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.03.09
1069;019-0477;Свободна, передана;3592.7;16;12;40.0;2023.03.09
1070;019-0474;Свободна, передана;11561.12;17;13;271.0;2023.03.09
1071;019-0475;Свободна, передана;12032.12;18;14;306.0;2023.03.09
1072;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.03.09
1073;019-0483;Свободна, передана;16366.63;19;11;223.0;2023.03.09
1074;019-0469;Свободна, передана;9411.0;20;1;156.0;2023.03.09
1075;019-0478;Свободна, передана;21197.0;20;3;0.0;2023.03.09
1076;020-0151;Занята;4080.0;21;15;;2023.03.09
1077;019-0480;Свободна, передана;14919.0;10;8;398.0;2023.03.09
1078;019-0431;Свободна, передана;19433.4;22;16;181.0;2023.03.09
1079;019-0430;Свободна, не передана;16094.4;23;15;;2023.03.09
1080;019-0463;Свободна, передана;5245.4;24;12;23.0;2023.03.09
1081;020-0710;Свободна, передана;8067.83;8;5;186.0;2023.03.09
1082;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.03.09
1084;019-0471;Свободна, передана;11500.0;20;8;337.0;2023.03.09
1085;019-0675;Свободна, передана;8844.0;26;18;168.0;2023.03.09
1086;020-0712;Свободна, передана;6671.21;8;5;85.0;2023.03.09
1087;020-0709;Свободна, не передана;6848.84;27;1;85.0;2023.03.09
1088;021-0050;;;0;0;;2023.03.09
1089;020-0683;Свободна, не передана;7515.86;27;1;39.0;2023.03.09
1090;021-0049;;;0;0;;2023.03.09
1091;021-0781;Свободна, не передана;8226.4;2;0;;2023.03.09
1092;021-0048;Свободна, не передана;10320.0;6;0;;2023.03.09
1094;020-0711;Свободна, передана;7265.0;28;19;29.0;2023.03.09
1095;019-0594;Занята;17488.0;1;2;;2023.03.09
1096;020-0156;Занята;13288.0;21;15;;2023.03.09
1097;020-0149;Свободна, передана;2812.0;8;5;94.0;2023.03.09
1098;019-0676;Свободна, не передана;6291.0;29;20;106.0;2023.03.09
1099;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.03.09
1100;019-0674;Занята;9030.0;6;0;;2023.03.09
1102;019-0589;Занята;3751.1;1;2;;2023.03.09
1104;020-0157;Занята;7243.9;30;7;49.0;2023.03.09
1105;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.03.09
1106;019-0470;Свободна, передана;15050.0;18;21;63.0;2023.03.09
1108;017-0527;Занята;14784.0;8;5;;2023.03.09
1109;017-0520;Свободна, не передана;6367.0;8;5;;2023.03.09
1112;021-0548;Занята;4037.0;32;0;;2023.03.09
1015;022-0043;;;0;0;;2023.03.10
1016;023-0091;;17000.0;0;0;;2023.03.10
1017;022-0629;;;0;1;;2023.03.10
1018;022-0170;Свободна, передана;16402.54;1;2;492.0;2023.03.10
1020;021-0549;Занята;;0;0;;2023.03.10
1021;022-0526;Занята;18100.0;0;0;;2023.03.10
1022;022-0520;Свободна, не передана;27225.0;0;0;;2023.03.10
1023;022-0519;Свободна, не передана;8307.0;0;0;;2023.03.10
1024;022-0515;Занята;5500.0;0;0;;2023.03.10
1025;022-0513;Свободна, не передана;6892.0;0;0;;2023.03.10
1026;022-0527;Не передана;9850.0;0;0;;2023.03.10
1027;022-0522;Не передана;13260.0;0;0;;2023.03.10
1028;022-0518;Занята;6000.0;0;0;;2023.03.10
1029;022-0631;;;0;2;;2023.03.10
1030;023-0092;;4000.0;0;0;;2023.03.10
1031;021-0550;Занята;1977.5;2;0;;2023.03.10
1032;022-0355;Передана под снос (для объектов сноса);;1;2;;2023.03.10
1033;022-0592;;3956.0;3;0;;2023.03.10
1034;022-0525;Не передана;9900.0;0;0;;2023.03.10
1035;022-0707;;;0;0;;2023.03.10
1036;022-0630;;;0;0;;2023.03.10
1037;022-0523;;27225.0;0;0;;2023.03.10
1039;023-0093;;17000.0;0;0;;2023.03.10
1040;023-0089;;7500.0;0;0;;2023.03.10
1041;022-0524;Занята;6800.0;0;0;;2023.03.10
1042;022-0528;Занята;12225.0;0;0;;2023.03.10
1043;023-0090;;4000.0;0;0;;2023.03.10
1044;022-0354;Занята;20271.0;0;0;;2023.03.10
1045;022-0176;Не передана;17000.0;4;0;;2023.03.10
1046;022-0172;Свободна, передана;;5;3;;2023.03.10
1047;020-0776;Свободна, не передана;3328.02;6;0;;2023.03.10
1048;022-0171;Свободна, передана;6671.21;1;2;138.0;2023.03.10
1049;022-0517;Занята;7000.0;0;0;;2023.03.10
1052;019-0668;Свободна, передана;2766.4;7;4;47.0;2023.03.10
1053;019-0464;Свободна, передана;11837.18;8;5;76.0;2023.03.10
1055;020-0720;Свободна, передана;20164.69;9;6;216.0;2023.03.10
1056;020-0719;Свободна, передана;5149.6;2;7;60.0;2023.03.10
1057;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.03.10
1058;019-0429;Свободна, передана;11410.0;11;7;99.0;2023.03.10
1059;020-0155;Свободна, не передана;16484.0;8;5;;2023.03.10
1060;019-0428;Свободна, передана;9067.1;12;4;46.0;2023.03.10
1061;020-0684;Занята;2488.6;1;2;;2023.03.10
1062;019-0467;Свободна, передана;11215.0;10;8;44.0;2023.03.10
1063;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.03.10
1065;019-0481;Свободна, передана;15122.0;13;9;207.0;2023.03.10
1066;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.03.10
1067;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.03.10
1069;019-0477;Свободна, передана;3592.7;16;12;40.0;2023.03.10
1070;019-0474;Свободна, передана;11561.12;17;13;271.0;2023.03.10
1071;019-0475;Свободна, передана;12032.12;18;14;306.0;2023.03.10
1072;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.03.10
1073;019-0483;Свободна, передана;16366.63;19;11;223.0;2023.03.10
1074;019-0469;Свободна, передана;9411.0;20;1;156.0;2023.03.10
1075;019-0478;Свободна, передана;21197.0;20;3;0.0;2023.03.10
1076;020-0151;Занята;4080.0;21;15;;2023.03.10
1077;019-0480;Свободна, передана;14919.0;10;8;398.0;2023.03.10
1078;019-0431;Свободна, передана;19433.4;22;16;181.0;2023.03.10
1079;019-0430;Свободна, не передана;16094.4;23;15;;2023.03.10
1080;019-0463;Свободна, передана;5245.4;24;12;23.0;2023.03.10
1081;020-0710;Свободна, передана;8067.83;8;5;186.0;2023.03.10
1082;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.03.10
1084;019-0471;Свободна, передана;11500.0;20;8;337.0;2023.03.10
1085;019-0675;Свободна, передана;8844.0;26;18;168.0;2023.03.10
1086;020-0712;Свободна, передана;6671.21;8;5;85.0;2023.03.10
1087;020-0709;Свободна, не передана;6848.84;27;1;85.0;2023.03.10
1088;021-0050;;;0;0;;2023.03.10
1089;020-0683;Свободна, не передана;7515.86;27;1;39.0;2023.03.10
1090;021-0049;;;0;0;;2023.03.10
1091;021-0781;Свободна, не передана;8226.4;2;0;;2023.03.10
1092;021-0048;Свободна, не передана;10320.0;6;0;;2023.03.10
1094;020-0711;Свободна, передана;7265.0;28;19;29.0;2023.03.10
1095;019-0594;Занята;17488.0;1;2;;2023.03.10
1096;020-0156;Занята;13288.0;21;15;;2023.03.10
1097;020-0149;Свободна, передана;2812.0;8;5;94.0;2023.03.10
1098;019-0676;Свободна, не передана;6291.0;29;20;106.0;2023.03.10
1099;020-0779;Свободна, передана;2992.5;26;18;10.0;2023.03.10
1100;019-0674;Занята;9030.0;6;0;;2023.03.10
1102;019-0589;Занята;3751.1;1;2;;2023.03.10
1104;020-0157;Занята;7243.9;30;7;49.0;2023.03.10
1105;019-0476;Свободна, передана;5429.0;31;19;3.0;2023.03.10
1106;019-0470;Свободна, передана;15050.0;18;21;63.0;2023.03.10
1108;017-0527;Занята;14784.0;8;5;;2023.03.10
1109;017-0520;Свободна, не передана;6367.0;8;5;;2023.03.10
1112;021-0548;Занята;4037.0;32;0;;2023.03.10
1015;022-0043;;;0;0;;2023.03.12
1016;023-0091;;17000.0;0;0;;2023.03.12
1017;022-0629;;;0;1;;2023.03.12
1018;022-0170;Свободна, передана;16402.54;1;2;492.0;2023.03.12
1020;021-0549;Занята;;0;0;;2023.03.12
1021;022-0526;Занята;18100.0;0;0;;2023.03.12
1022;022-0520;Свободна, не передана;27225.0;0;0;;2023.03.12
1023;022-0519;Свободна, не передана;8307.0;0;0;;2023.03.12
1024;022-0515;Занята;5500.0;0;0;;2023.03.12
1025;022-0513;Свободна, не передана;6892.0;0;0;;2023.03.12
1026;022-0527;Не передана;9850.0;0;0;;2023.03.12
1027;022-0522;Не передана;13260.0;0;0;;2023.03.12
1028;022-0518;Занята;6000.0;0;0;;2023.03.12
1029;022-0631;;;0;2;;2023.03.12
1030;023-0092;;4000.0;0;0;;2023.03.12
1031;021-0550;Занята;1977.5;2;0;;2023.03.12
1032;022-0355;Передана под снос (для объектов сноса);;1;2;;2023.03.12
1033;022-0592;;3956.0;3;0;;2023.03.12
1034;022-0525;Не передана;9900.0;0;0;;2023.03.12
1035;022-0707;;;0;0;;2023.03.12
1036;022-0630;;;0;0;;2023.03.12
1037;022-0523;;27225.0;0;0;;2023.03.12
1039;023-0093;;17000.0;0;0;;2023.03.12
1040;023-0089;;7500.0;0;0;;2023.03.12
1041;022-0524;Занята;6800.0;0;0;;2023.03.12
1042;022-0528;Занята;12225.0;0;0;;2023.03.12
1043;023-0090;;4000.0;0;0;;2023.03.12
1044;022-0354;Занята;20271.0;0;0;;2023.03.12
1045;022-0176;Не передана;17000.0;4;0;;2023.03.12
1046;022-0172;Свободна, передана;;5;3;;2023.03.12
1047;020-0776;Свободна, не передана;3328.02;6;0;;2023.03.12
1048;022-0171;Свободна, передана;6671.21;1;2;138.0;2023.03.12
1049;022-0517;Занята;7000.0;0;0;;2023.03.12
1052;019-0668;Свободна, передана;2766.4;7;4;47.0;2023.03.12
1053;019-0464;Свободна, передана;11837.18;8;5;76.0;2023.03.12
1055;020-0720;Свободна, передана;20164.69;9;6;216.0;2023.03.12
1056;020-0719;Свободна, передана;5149.6;2;7;60.0;2023.03.12
1057;019-0466;Свободна, передана;5270.32;10;1;17.0;2023.03.12
1058;019-0429;Свободна, передана;11410.0;11;7;99.0;2023.03.12
1059;020-0155;Свободна, не передана;16484.0;8;5;;2023.03.12
1060;019-0428;Свободна, передана;9067.1;12;4;48.0;2023.03.12
1061;020-0684;Занята;2488.6;1;2;;2023.03.12
1062;019-0467;Свободна, передана;11215.0;10;8;44.0;2023.03.12
1063;019-0482;Свободна, снос завершен (для объектов сноса);16442.0;10;8;;2023.03.12
1065;019-0481;Свободна, передана;15122.0;13;9;207.0;2023.03.12
1066;019-0473;Свободна, передана;11507.82;14;10;0.0;2023.03.12
1067;019-0472;Свободна, передана;5318.0;15;11;9.0;2023.03.12
1069;019-0477;Свободна, передана;3592.7;16;12;40.0;2023.03.12
1070;019-0474;Свободна, передана;11561.12;17;13;271.0;2023.03.12
1071;019-0475;Свободна, передана;12032.12;18;14;306.0;2023.03.12
1072;019-0465;Свободна, передана;4624.3;10;8;20.0;2023.03.12
1073;019-0483;Свободна, передана;16366.63;19;11;223.0;2023.03.12
1074;019-0469;Свободна, передана;9411.0;20;1;156.0;2023.03.12
1075;019-0478;Свободна, передана;21197.0;20;3;0.0;2023.03.12
1076;020-0151;Занята;4080.0;21;15;;2023.03.12
1077;019-0480;Свободна, передана;14919.0;10;8;398.0;2023.03.12
1078;019-0431;Свободна, передана;19433.4;22;16;181.0;2023.03.12
1079;019-0430;Свободна, не передана;16094.4;23;15;;2023.03.12
1080;019-0463;Свободна, передана;5245.4;24;12;23.0;2023.03.12
1081;020-0710;Свободна, передана;8067.83;8;5;186.0;2023.03.12
1082;020-0708;Свободна, передана;6575.0;25;17;0.0;2023.03.12
